,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
361,2022-12-30,154.0,847.0,867.5,842.5,863.0,752441.0,885333.0,881643.0,DCE.i2305,86400
362,2023-01-03,155.0,857.0,859.0,842.0,851.5,523307.0,881643.0,856521.0,DCE.i2305,86400
363,2023-01-04,156.0,852.5,860.5,840.0,846.5,754099.0,856521.0,874030.0,DCE.i2305,86400
364,2023-01-05,157.0,841.0,847.0,830.0,840.0,734421.0,874030.0,855024.0,DCE.i2305,86400
365,2023-01-06,158.0,845.0,856.0,832.0,855.0,800371.0,855024.0,871782.0,DCE.i2305,86400
366,2023-01-09,159.0,845.0,846.5,815.5,823.0,1152754.0,871782.0,847684.0,DCE.i2305,86400
367,2023-01-10,160.0,829.5,844.0,826.5,839.5,725770.0,847684.0,876162.0,DCE.i2305,86400
368,2023-01-11,161.0,842.0,852.5,835.0,847.5,554600.0,876162.0,901895.0,DCE.i2305,86400
369,2023-01-12,162.0,850.5,861.5,843.5,855.5,639744.0,901895.0,929836.0,DCE.i2305,86400
370,2023-01-13,163.0,856.5,883.0,854.0,881.0,748517.0,929836.0,953290.0,DCE.i2305,86400
371,2023-01-16,164.0,859.0,863.5,830.0,832.5,1090582.0,953290.0,863044.0,DCE.i2305,86400
372,2023-01-17,165.0,836.0,841.5,826.5,835.0,542978.0,863044.0,854616.0,DCE.i2305,86400
373,2023-01-18,166.0,835.5,848.5,831.5,841.5,622277.0,854616.0,833380.0,DCE.i2305,86400
374,2023-01-19,167.0,845.5,859.5,842.0,852.5,616978.0,833380.0,806325.0,DCE.i2305,86400
375,2023-01-20,168.0,854.5,865.5,848.0,865.0,408952.0,806325.0,783364.0,DCE.i2305,86400
376,2023-01-30,169.0,885.0,890.0,871.0,873.5,397485.0,783364.0,829483.0,DCE.i2305,86400
377,2023-01-31,170.0,876.0,880.0,865.5,866.0,475910.0,829483.0,842699.0,DCE.i2305,86400
378,2023-02-01,171.0,867.0,881.5,862.5,867.0,586710.0,842699.0,847176.0,DCE.i2305,86400
379,2023-02-02,172.0,864.0,870.5,839.0,841.5,827653.0,847176.0,829356.0,DCE.i2305,86400
380,2023-02-03,173.0,850.0,856.0,834.0,853.5,733899.0,829356.0,842359.0,DCE.i2305,86400
381,2023-02-06,174.0,850.0,858.0,835.0,853.5,727817.0,842359.0,843114.0,DCE.i2305,86400
382,2023-02-07,175.0,850.0,853.0,828.5,840.5,815497.0,843114.0,838801.0,DCE.i2305,86400
383,2023-02-08,176.0,839.5,849.0,833.0,848.0,710699.0,838801.0,849808.0,DCE.i2305,86400
384,2023-02-09,177.0,850.5,866.0,848.5,863.0,608081.0,849808.0,883705.0,DCE.i2305,86400
385,2023-02-10,178.0,863.5,869.0,852.5,863.5,619121.0,883705.0,871924.0,DCE.i2305,86400
386,2023-02-13,179.0,862.5,867.0,841.0,841.5,778607.0,871924.0,852473.0,DCE.i2305,86400
387,2023-02-14,180.0,841.0,859.5,836.0,856.5,631859.0,852473.0,857395.0,DCE.i2305,86400
388,2023-02-15,181.0,856.0,873.0,854.0,865.5,652584.0,857395.0,892950.0,DCE.i2305,86400
389,2023-02-16,182.0,865.0,883.0,861.5,880.0,676237.0,892950.0,914538.0,DCE.i2305,86400
390,2023-02-17,183.0,881.0,893.0,879.5,889.5,617471.0,914538.0,936584.0,DCE.i2305,86400
391,2023-02-20,184.0,881.0,898.5,879.0,894.0,599902.0,936584.0,945814.0,DCE.i2305,86400
392,2023-02-21,185.0,899.0,922.0,898.5,919.0,728079.0,945814.0,948533.0,DCE.i2305,86400
393,2023-02-22,186.0,912.5,917.5,907.0,909.5,545536.0,948533.0,927450.0,DCE.i2305,86400
394,2023-02-23,187.0,911.0,917.5,906.0,908.5,548862.0,927450.0,901515.0,DCE.i2305,86400
395,2023-02-24,188.0,907.5,917.5,901.0,909.5,605138.0,901515.0,883929.0,DCE.i2305,86400
396,2023-02-27,189.0,901.0,906.5,883.0,885.5,780026.0,883929.0,829322.0,DCE.i2305,86400
397,2023-02-28,190.0,885.5,892.0,883.0,888.5,466360.0,829322.0,829731.0,DCE.i2305,86400
398,2023-03-01,191.0,891.5,910.5,885.5,908.5,534845.0,829731.0,846922.0,DCE.i2305,86400
399,2023-03-02,192.0,910.0,914.5,905.0,912.5,379352.0,846922.0,855743.0,DCE.i2305,86400
400,2023-03-03,193.0,913.0,923.5,910.0,919.0,429579.0,855743.0,874968.0,DCE.i2305,86400
401,2023-03-06,194.0,910.0,912.5,884.5,897.0,801270.0,874968.0,826511.0,DCE.i2305,86400
402,2023-03-07,195.0,900.0,914.0,894.0,909.5,483110.0,826511.0,855327.0,DCE.i2305,86400
403,2023-03-08,196.0,911.0,915.0,904.5,912.0,417778.0,855327.0,871446.0,DCE.i2305,86400
404,2023-03-09,197.0,913.0,919.0,897.0,916.5,719214.0,871446.0,852878.0,DCE.i2305,86400
405,2023-03-10,198.0,919.0,932.5,909.0,910.0,768841.0,852878.0,846580.0,DCE.i2305,86400
406,2023-03-13,199.0,915.0,930.0,913.0,929.0,630725.0,846580.0,863952.0,DCE.i2305,86400
407,2023-03-14,200.0,920.0,936.0,916.0,920.0,699358.0,863952.0,845807.0,DCE.i2305,86400
408,2023-03-15,201.0,926.0,935.0,922.5,926.5,529439.0,845807.0,855000.0,DCE.i2305,86400
409,2023-03-16,202.0,911.5,924.0,897.5,902.0,853770.0,855000.0,787087.0,DCE.i2305,86400
410,2023-03-17,203.0,900.5,921.0,889.0,915.0,770222.0,787087.0,780380.0,DCE.i2305,86400
411,2023-03-20,204.0,911.0,915.0,882.0,883.0,778016.0,780380.0,722550.0,DCE.i2305,86400
412,2023-03-21,205.0,886.5,894.0,877.5,879.0,636124.0,722550.0,690163.0,DCE.i2305,86400
413,2023-03-22,206.0,879.0,885.0,857.5,865.5,748618.0,690163.0,647419.0,DCE.i2305,86400
414,2023-03-23,207.0,869.0,876.5,851.0,854.0,640850.0,647419.0,618484.0,DCE.i2305,86400
415,2023-03-24,208.0,849.0,871.5,844.0,866.5,652127.0,618484.0,588704.0,DCE.i2305,86400
416,2023-03-27,209.0,857.0,878.0,855.0,873.5,567217.0,588704.0,577178.0,DCE.i2305,86400
417,2023-03-28,210.0,875.0,884.0,869.5,882.0,398727.0,577178.0,575079.0,DCE.i2305,86400
418,2023-03-29,211.0,887.5,895.0,882.5,890.5,429497.0,575079.0,563552.0,DCE.i2305,86400
419,2023-03-30,212.0,895.0,908.0,888.5,905.5,462333.0,563552.0,554493.0,DCE.i2305,86400
420,2023-03-31,213.0,910.5,914.5,905.0,907.0,385252.0,554493.0,532508.0,DCE.i2305,86400
421,2023-04-03,214.0,907.0,911.5,889.0,890.5,444187.0,532508.0,506269.0,DCE.i2305,86400
422,2023-04-04,215.0,892.5,897.0,873.5,881.5,404913.0,506269.0,449782.0,DCE.i2305,86400
423,2023-04-06,216.0,876.0,881.5,867.5,875.5,235769.0,449782.0,414778.0,DCE.i2305,86400
424,2023-04-07,217.0,874.5,893.0,866.5,887.5,250961.0,414778.0,377132.0,DCE.i2305,86400
425,2023-04-10,218.0,888.0,895.5,871.5,880.5,239776.0,377132.0,357617.0,DCE.i2305,86400
426,2023-04-11,219.0,880.5,898.5,873.5,895.5,171233.0,357617.0,326331.0,DCE.i2305,86400
427,2023-04-12,220.0,898.0,899.0,884.0,888.0,105259.0,326331.0,306696.0,DCE.i2305,86400
428,2023-04-13,221.0,890.0,890.0,875.0,879.0,122176.0,306696.0,271995.0,DCE.i2305,86400
429,2023-04-14,222.0,872.0,893.5,872.0,882.0,89544.0,271995.0,245515.0,DCE.i2305,86400
430,2023-04-17,223.0,887.0,893.0,878.0,890.0,85108.0,245515.0,225243.0,DCE.i2305,86400
431,2023-04-18,224.0,894.0,907.0,891.5,901.0,77150.0,225243.0,206133.0,DCE.i2305,86400
432,2023-04-19,225.0,901.0,914.0,898.5,903.5,84828.0,206133.0,194992.0,DCE.i2305,86400
433,2023-04-20,226.0,903.0,903.0,886.5,893.5,90016.0,194992.0,170945.0,DCE.i2305,86400
434,2023-04-21,227.0,890.0,890.0,858.0,858.0,107803.0,170945.0,124519.0,DCE.i2305,86400
435,2023-04-24,228.0,856.0,858.0,813.0,824.0,127488.0,124519.0,82538.0,DCE.i2305,86400
436,2023-04-25,229.0,815.0,829.5,813.5,817.0,52587.0,82538.0,64262.0,DCE.i2305,86400
437,2023-04-26,230.0,811.0,824.5,807.0,821.0,41185.0,64262.0,47477.0,DCE.i2305,86400
438,2023-04-27,231.0,823.0,846.0,823.0,839.5,31960.0,47477.0,31054.0,DCE.i2305,86400
439,2023-04-28,232.0,838.0,866.0,832.0,862.0,34013.0,31054.0,10118.0,DCE.i2305,86400
440,2023-05-04,233.0,850.0,862.0,837.0,840.0,1535.0,10118.0,8993.0,DCE.i2305,86400
441,2023-05-05,234.0,836.0,836.0,799.0,822.0,1621.0,8993.0,8067.0,DCE.i2305,86400
442,2023-05-08,235.0,827.0,851.0,825.0,851.0,2059.0,8067.0,5890.0,DCE.i2305,86400
443,2023-05-09,236.0,855.0,867.5,840.0,857.0,358.0,5890.0,5587.0,DCE.i2305,86400
444,2023-05-10,237.0,850.0,858.0,839.0,839.0,296.0,5587.0,5487.0,DCE.i2305,86400
445,2023-05-11,238.0,840.0,845.0,815.0,817.0,924.0,5487.0,4786.0,DCE.i2305,86400
446,2023-05-12,239.0,831.0,832.0,831.0,832.0,24.0,4786.0,4562.0,DCE.i2305,86400
447,2023-05-15,240.0,831.5,831.5,831.5,831.5,0.0,4562.0,4562.0,DCE.i2305,86400
448,2023-05-16,241.0,776.0,850.0,776.0,839.0,55.0,4562.0,4563.0,DCE.i2305,86400
449,2023-05-17,242.0,832.0,832.0,832.0,832.0,163.0,4563.0,0.0,DCE.i2305,86400
